personID,age
1000000000,47
1000000001,29
1000000002,37
1000000003,26
1000000004,31
1000000005,41
1000000006,34
1000000007,44
1000000008,37
1000000009,22
1000000010,27
1000000011,32
1000000012,29
1000000013,40
1000000014,33
1000000015,37
1000000016,41
1000000017,32
1000000018,40
1000000019,39
1000000020,38
1000000021,32
1000000022,34
1000000023,37
1000000024,32
1000000025,34
1000000026,36
1000000027,53
1000000028,38
1000000029,40
1000000030,32
1000000031,34
1000000032,41
1000000033,26
1000000034,38
1000000035,27
1000000036,31
1000000037,37
1000000038,33
1000000039,34
1000000040,30
1000000041,40
1000000042,41
1000000043,42
1000000044,28
1000000045,35
1000000046,25
1000000047,35
1000000048,34
1000000049,41
1000000050,33
1000000051,39
1000000052,37
1000000053,41
1000000054,41
1000000055,18
1000000056,28
1000000057,47
1000000058,35
1000000059,49
1000000060,35
1000000061,29
1000000062,38
1000000063,34
1000000064,32
1000000065,37
1000000066,39
1000000067,32
1000000068,37
1000000069,39
1000000070,37
1000000071,32
1000000072,32
1000000073,34
1000000074,29
1000000075,30
1000000076,33
1000000077,33
1000000078,33
1000000079,41
1000000080,25
1000000081,38
1000000082,46
1000000083,31
1000000084,33
1000000085,39
1000000086,41
1000000087,30
1000000088,34
1000000089,48
1000000090,36
1000000091,35
1000000092,33
1000000093,39
1000000094,31
1000000095,40
1000000096,31
1000000097,48
1000000098,35
1000000099,33
1000000100,29
1000000101,26
1000000102,27
1000000103,37
1000000104,33
1000000105,32
1000000106,34
1000000107,25
1000000108,29
1000000109,36
1000000110,27
1000000111,38
1000000112,29
1000000113,30
1000000114,45
1000000115,40
1000000116,31
1000000117,33
1000000118,30
1000000119,38
1000000120,30
1000000121,30
1000000122,22
1000000123,45
1000000124,43
1000000125,29
1000000126,37
1000000127,25
1000000128,44
1000000129,39
1000000130,30
1000000131,44
1000000132,39
1000000133,30
1000000134,32
1000000135,36
1000000136,30
1000000137,43
1000000138,40
1000000139,38
1000000140,42
1000000141,32
1000000142,25
1000000143,29
1000000144,35
1000000145,40
1000000146,34
1000000147,39
1000000148,34
1000000149,31
1000000150,38
1000000151,39
1000000152,29
1000000153,28
1000000154,36
1000000155,30
1000000156,34
1000000157,32
1000000158,45
1000000159,29
1000000160,45
1000000161,41
1000000162,33
1000000163,31
1000000164,35
1000000165,28
1000000166,34
1000000167,40
1000000168,41
1000000169,47
1000000170,35
1000000171,34
1000000172,26
1000000173,38
1000000174,32
1000000175,29
1000000176,32
1000000177,34
1000000178,31
1000000179,35
1000000180,48
1000000181,38
1000000182,34
1000000183,47
1000000184,38
1000000185,38
1000000186,30
1000000187,37
1000000188,31
1000000189,29
1000000190,31
1000000191,47
1000000192,32
1000000193,39
1000000194,29
1000000195,38
1000000196,37
1000000197,34
1000000198,46
1000000199,29
1000000200,40
1000000201,33
1000000202,37
1000000203,49
1000000204,32
1000000205,34
1000000206,35
1000000207,30
1000000208,33
1000000209,26
1000000210,28
1000000211,37
1000000212,32
1000000213,35
1000000214,33
1000000215,37
1000000216,31
1000000217,25
1000000218,40
1000000219,41
1000000220,45
1000000221,31
1000000222,38
1000000223,30
1000000224,38
1000000225,40
1000000226,45
1000000227,44
1000000228,26
1000000229,36
1000000230,28
1000000231,22
1000000232,31
1000000233,34
1000000234,38
1000000235,36
1000000236,23
1000000237,39
1000000238,33
1000000239,29
1000000240,48
1000000241,38
1000000242,20
1000000243,39
1000000244,36
1000000245,36
1000000246,38
1000000247,42
1000000248,36
1000000249,33
1000000250,39
1000000251,42
1000000252,39
1000000253,26
1000000254,23
1000000255,43
1000000256,33
1000000257,24
1000000258,37
1000000259,27
1000000260,45
1000000261,30
1000000262,38
1000000263,45
1000000264,27
1000000265,38
1000000266,40
1000000267,31
1000000268,32
1000000269,42
1000000270,29
1000000271,40
1000000272,32
1000000273,35
1000000274,35
1000000275,29
1000000276,21
1000000277,31
1000000278,17
1000000279,34
1000000280,36
1000000281,35
1000000282,44
1000000283,27
1000000284,39
1000000285,40
1000000286,38
1000000287,29
1000000288,33
1000000289,29
1000000290,38
1000000291,34
1000000292,35
1000000293,44
1000000294,31
1000000295,34
1000000296,38
1000000297,29
1000000298,26
1000000299,31
1000000300,36
1000000301,26
1000000302,29
1000000303,27
1000000304,43
1000000305,26
1000000306,35
1000000307,42
1000000308,32
1000000309,35
1000000310,39
1000000311,35
1000000312,35
1000000313,38
1000000314,31
1000000315,42
1000000316,33
1000000317,34
1000000318,38
1000000319,27
1000000320,35
1000000321,38
1000000322,30
1000000323,36
1000000324,32
1000000325,36
1000000326,30
1000000327,31
1000000328,39
1000000329,30
1000000330,40
1000000331,41
1000000332,42
1000000333,34
1000000334,36
1000000335,44
1000000336,40
1000000337,32
1000000338,30
1000000339,29
1000000340,38
1000000341,33
1000000342,29
1000000343,46
1000000344,34
1000000345,37
1000000346,38
1000000347,30
1000000348,41
1000000349,46
1000000350,39
1000000351,34
1000000352,35
1000000353,19
1000000354,32
1000000355,38
1000000356,33
1000000357,39
1000000358,35
1000000359,40
1000000360,28
1000000361,20
1000000362,32
1000000363,40
1000000364,30
1000000365,27
1000000366,33
1000000367,35
1000000368,34
1000000369,28
1000000370,33
1000000371,43
1000000372,35
1000000373,26
1000000374,37
1000000375,37
1000000376,42
1000000377,37
1000000378,32
1000000379,37
1000000380,40
1000000381,35
1000000382,25
1000000383,27
1000000384,42
1000000385,35
1000000386,31
1000000387,30
1000000388,32
1000000389,39
1000000390,39
1000000391,31
1000000392,34
1000000393,45
1000000394,40
1000000395,57
1000000396,37
1000000397,33
1000000398,33
1000000399,28
1000000400,36
1000000401,30
1000000402,32
1000000403,33
1000000404,33
1000000405,40
1000000406,45
1000000407,25
1000000408,31
1000000409,45
1000000410,26
1000000411,27
1000000412,33
1000000413,34
1000000414,37
1000000415,36
1000000416,36
1000000417,50
1000000418,37
1000000419,38
1000000420,36
1000000421,35
1000000422,30
1000000423,39
1000000424,38
1000000425,42
1000000426,38
1000000427,39
1000000428,37
1000000429,32
1000000430,39
1000000431,39
1000000432,41
1000000433,31
1000000434,31
1000000435,36
1000000436,39
1000000437,28
1000000438,28
1000000439,26
1000000440,32
1000000441,38
1000000442,40
1000000443,33
1000000444,30
1000000445,39
1000000446,36
1000000447,39
1000000448,35
1000000449,37
1000000450,37
1000000451,47
1000000452,37
1000000453,37
1000000454,42
1000000455,38
1000000456,33
1000000457,37
1000000458,31
1000000459,22
1000000460,38
1000000461,41
1000000462,32
1000000463,34
1000000464,34
1000000465,22
1000000466,29
1000000467,19
1000000468,34
1000000469,28
1000000470,46
1000000471,28
1000000472,40
1000000473,28
1000000474,40
1000000475,25
1000000476,30
1000000477,39
1000000478,31
1000000479,35
1000000480,38
1000000481,37
1000000482,32
1000000483,19
1000000484,32
1000000485,46
1000000486,31
1000000487,29
1000000488,35
1000000489,37
1000000490,32
1000000491,41
1000000492,30
1000000493,32
1000000494,35
1000000495,28
1000000496,35
1000000497,38
1000000498,39
1000000499,41
1000000500,23
1000000501,31
1000000502,28
1000000503,34
1000000504,52
1000000505,29
1000000506,32
1000000507,31
1000000508,28
1000000509,34
1000000510,30
1000000511,44
1000000512,37
1000000513,38
1000000514,34
1000000515,38
1000000516,31
1000000517,32
1000000518,28
1000000519,25
1000000520,30
1000000521,35
1000000522,38
1000000523,32
1000000524,35
1000000525,36
1000000526,31
1000000527,22
1000000528,33
1000000529,46
1000000530,31
1000000531,34
1000000532,28
1000000533,40
1000000534,44
1000000535,28
1000000536,25
1000000537,30
1000000538,29
1000000539,43
1000000540,38
1000000541,41
1000000542,31
1000000543,40
1000000544,34
1000000545,35
1000000546,42
1000000547,35
1000000548,38
1000000549,32
1000000550,37
1000000551,40
1000000552,33
1000000553,34
1000000554,31
1000000555,36
1000000556,34
1000000557,26
1000000558,31
1000000559,32
1000000560,36
1000000561,36
1000000562,30
1000000563,37
1000000564,34
1000000565,36
1000000566,52
1000000567,40
1000000568,31
1000000569,40
1000000570,34
1000000571,29
1000000572,38
1000000573,32
1000000574,45
1000000575,38
1000000576,31
1000000577,35
1000000578,36
1000000579,37
1000000580,41
1000000581,42
1000000582,29
1000000583,42
1000000584,29
1000000585,33
1000000586,26
1000000587,37
1000000588,45
1000000589,33
1000000590,29
1000000591,24
1000000592,32
1000000593,34
1000000594,35
1000000595,41
1000000596,29
1000000597,27
1000000598,36
1000000599,39
1000000600,35
1000000601,36
1000000602,36
1000000603,31
1000000604,30
1000000605,41
1000000606,38
1000000607,33
1000000608,31
1000000609,30
1000000610,28
1000000611,38
1000000612,37
1000000613,35
1000000614,33
1000000615,39
1000000616,35
1000000617,34
1000000618,46
1000000619,37
1000000620,37
1000000621,40
1000000622,25
1000000623,24
1000000624,36
1000000625,32
1000000626,35
1000000627,43
1000000628,41
1000000629,37
1000000630,27
1000000631,29
1000000632,39
1000000633,37
1000000634,34
1000000635,33
1000000636,38
1000000637,48
1000000638,42
1000000639,44
1000000640,33
1000000641,40
1000000642,43
1000000643,38
1000000644,51
1000000645,30
1000000646,36
1000000647,37
1000000648,34
1000000649,34
1000000650,34
1000000651,42
1000000652,29
1000000653,35
1000000654,48
1000000655,27
1000000656,30
1000000657,43
1000000658,32
1000000659,42
1000000660,32
1000000661,45
1000000662,37
1000000663,34
1000000664,40
1000000665,30
1000000666,32
1000000667,36
1000000668,30
1000000669,22
1000000670,35
1000000671,41
1000000672,44
1000000673,34
1000000674,23
1000000675,31
1000000676,33
1000000677,28
1000000678,51
1000000679,33
1000000680,34
1000000681,37
1000000682,42
1000000683,41
1000000684,33
1000000685,22
1000000686,30
1000000687,44
1000000688,35
1000000689,31
1000000690,32
1000000691,33
1000000692,22
1000000693,35
1000000694,39
1000000695,38
1000000696,39
1000000697,38
1000000698,37
1000000699,32
1000000700,36
1000000701,34
1000000702,35
1000000703,42
1000000704,37
1000000705,29
1000000706,29
1000000707,35
1000000708,35
1000000709,39
1000000710,33
1000000711,38
1000000712,35
1000000713,26
1000000714,32
1000000715,36
1000000716,28
1000000717,36
1000000718,44
1000000719,36
1000000720,32
1000000721,28
1000000722,42
1000000723,35
1000000724,41
1000000725,47
1000000726,36
1000000727,25
1000000728,35
1000000729,24
1000000730,31
1000000731,40
1000000732,32
1000000733,35
1000000734,26
1000000735,38
1000000736,35
1000000737,36
1000000738,40
1000000739,42
1000000740,39
1000000741,37
1000000742,38
1000000743,30
1000000744,32
1000000745,37
1000000746,27
1000000747,32
1000000748,40
1000000749,37
1000000750,31
1000000751,40
1000000752,46
1000000753,23
1000000754,30
1000000755,27
1000000756,32
1000000757,36
1000000758,42
1000000759,34
1000000760,42
1000000761,38
1000000762,30
1000000763,34
1000000764,37
1000000765,39
1000000766,43
1000000767,40
1000000768,26
1000000769,35
1000000770,49
1000000771,47
1000000772,44
1000000773,45
1000000774,37
1000000775,41
1000000776,37
1000000777,29
1000000778,32
1000000779,36
1000000780,39
1000000781,33
1000000782,38
1000000783,31
1000000784,37
1000000785,51
1000000786,26
1000000787,32
1000000788,35
1000000789,33
1000000790,43
1000000791,36
1000000792,29
1000000793,33
1000000794,32
1000000795,41
1000000796,44
1000000797,30
1000000798,30
1000000799,34
1000000800,37
1000000801,41
1000000802,31
1000000803,28
1000000804,24
1000000805,30
1000000806,46
1000000807,37
1000000808,16
1000000809,35
1000000810,37
1000000811,41
1000000812,41
1000000813,36
1000000814,28
1000000815,40
1000000816,33
1000000817,30
1000000818,34
1000000819,41
1000000820,33
1000000821,38
1000000822,43
1000000823,33
1000000824,26
1000000825,37
1000000826,42
1000000827,21
1000000828,29
1000000829,31
1000000830,33
1000000831,40
1000000832,42
1000000833,36
1000000834,32
1000000835,34
1000000836,33
1000000837,25
1000000838,42
1000000839,36
1000000840,48
1000000841,36
1000000842,28
1000000843,43
1000000844,31
1000000845,39
1000000846,27
1000000847,43
1000000848,39
1000000849,27
1000000850,30
1000000851,42
1000000852,31
1000000853,32
1000000854,29
1000000855,32
1000000856,30
1000000857,43
1000000858,36
1000000859,51
1000000860,40
1000000861,24
1000000862,42
1000000863,26
1000000864,34
1000000865,23
1000000866,38
1000000867,30
1000000868,33
1000000869,27
1000000870,38
1000000871,32
1000000872,34
1000000873,42
1000000874,27
1000000875,32
1000000876,34
1000000877,28
1000000878,40
1000000879,33
1000000880,45
1000000881,30
1000000882,34
1000000883,30
1000000884,30
1000000885,41
1000000886,38
1000000887,34
1000000888,30
1000000889,37
1000000890,32
1000000891,27
1000000892,30
1000000893,47
1000000894,29
1000000895,36
1000000896,43
1000000897,31
1000000898,31
1000000899,31
1000000900,34
1000000901,25
1000000902,28
1000000903,31
1000000904,25
1000000905,35
1000000906,37
1000000907,31
1000000908,29
1000000909,40
1000000910,26
1000000911,36
1000000912,40
1000000913,37
1000000914,26
1000000915,29
1000000916,34
1000000917,34
1000000918,30
1000000919,28
1000000920,31
1000000921,28
1000000922,32
1000000923,35
1000000924,35
1000000925,38
1000000926,35
1000000927,26
1000000928,26
1000000929,31
1000000930,33
1000000931,45
1000000932,32
1000000933,38
1000000934,24
1000000935,31
1000000936,38
1000000937,27
1000000938,45
1000000939,32
1000000940,24
1000000941,42
1000000942,38
1000000943,31
1000000944,49
1000000945,33
1000000946,33
1000000947,33
1000000948,43
1000000949,28
1000000950,39
1000000951,35
1000000952,30
1000000953,40
1000000954,48
1000000955,30
1000000956,31
1000000957,42
1000000958,40
1000000959,36
1000000960,46
1000000961,36
1000000962,36
1000000963,32
1000000964,30
1000000965,25
1000000966,30
1000000967,33
1000000968,36
1000000969,30
1000000970,28
1000000971,20
1000000972,34
1000000973,38
1000000974,33
1000000975,29
1000000976,26
1000000977,34
1000000978,24
1000000979,42
1000000980,37
1000000981,28
1000000982,41
1000000983,42
1000000984,37
1000000985,38
1000000986,37
1000000987,34
1000000988,34
1000000989,32
1000000990,44
1000000991,29
1000000992,32
1000000993,32
1000000994,43
1000000995,37
1000000996,28
1000000997,33
1000000998,29
1000000999,29
